"","id_tag","familiar","novel","treatment","discrimination_index"
"1","AD005",22.45,23.57,"TBI",0.512168622338114
"2","AD009",15.37,13.58,"SHAM",0.469084628670121
"3","AD011",13.41,19.95,"TBI",0.598021582733813
"4","AD014",7.04,1.45,"SHAM",0.170789163722026
"5","AD015",19.6,20.84,"TBI",0.515331355093966
"6","AD022",9.59,18.05,"SHAM",0.653039073806078
"7","AD026",6.91,3.48,"TBI",0.334937439846006
"8","AD030",6.89,0.78,"SHAM",0.101694915254237
"9","AD033",16.87,18.52,"TBI",0.523311669963266
"10","WT001",16.57,32.84,"WT",0.664642784861364
"11","WT003",11.75,24.19,"WT",0.673066221480245
"12","WT004",2.85,7.16,"WT",0.715284715284715
"13","WT009",8.38,34.49,"WT",0.804525309073944
"14","WT010",2.6,46.46,"WT",0.947003668976763
"15","WT015",1.42,55.84,"WT",0.975200838281523
"16","WT007",8.67,49.08,"WT",0.84987012987013
"17","AD012",15.9,27.95,"AD",0.637400228050171
"18","AD024",10.11,2.19,"AD",0.178048780487805
"19","AD019",8.71,14.56,"AD",0.625698324022346
"20","AD061",7.22,8.87,"TBI",0.551274083281541
"21","AD077",11.47,14.81,"TBI",0.563546423135464
"22","AD082",10.73,14.68,"TBI",0.577725304998032
"23","AD073",3.74,8.82,"SHAM",0.702229299363057
"24","AD080",9.3,26.57,"SHAM",0.740730415388904
"25","AD085",2.99,3.2,"SHAM",0.516962843295638
"26","AD075",0.35,0.22,"AD",0.385964912280702
"27","AD110",1.21,4.45,"AD",0.786219081272085
"28","AD112",14.23,2.12,"AD",0.129663608562691
"29","AD130",5.41,5.81,"AD",0.517825311942959
"30","WT034",5.84,13.16,"WT",0.692631578947368
"31","WT038",5.6,16.86,"WT",0.7506678539626
"32","AD152",19.7,26.56,"TBI",0.574146130566364
"33","AD171",13.4,49.3,"TBI",0.78628389154705
"34","AD172",28.02,38.36,"TBI",0.577884905091895
"35","AD178",1.54,2.52,"TBI",0.620689655172414
"36","AD159",3.39,1.42,"SHAM",0.295218295218295
"37","AD175",18.72,19.9,"SHAM",0.515277058518902
"38","AD182",9.12,2.4,"SHAM",0.208333333333333
"39","AD144",15.5,22.08,"AD",0.587546567323044
"40","AD146",20.18,20.68,"AD",0.506118453255017
"41","AD166",17.64,11.22,"AD",0.388773388773389
"42","AD164",12.26,41.24,"AD",0.770841121495327
"43","WT227",1.3,13.9,"WT",0.914473684210526
"44","WT232",15.14,30.92,"WT",0.671298306556665
"45","WT234",5.52,17.12,"WT",0.756183745583039
"46","WT229",4.22,17.48,"WT",0.805529953917051
"47","AD258",7.7,5.46,"TBI",0.414893617021277
"48","AD262",9.1,27.62,"TBI",0.752178649237473
"49","AD264",15.23,32.1,"TBI",0.678216775829284
"50","AD271",7.65,4.98,"TBI",0.394299287410926
"51","AD280",8.74,30.45,"TBI",0.776983924470528
"52","AD259",2.5,25.94,"SHAM",0.912095639943741
"53","AD270",7.95,16.17,"SHAM",0.670398009950249
"54","AD273",24.49,17.54,"SHAM",0.417320961218177
"55","AD284",7.28,41.74,"SHAM",0.851489188086495
"56","AD266",1.76,15.25,"AD",0.896531452087008
"57","AD275",16.56,40.98,"AD",0.712200208550574
"58","AD279",29.37,84.99,"AD",0.743179433368311
"59","WT369",4.99,10.67,"WT",0.681353767560664
"60","WT368",4.48,7.48,"WT",0.625418060200669
