"","mouseID","Treatment","Mean"
"1","WT370","WT",65.7773214285714
"2","WT368","WT",19.7416666666667
"3","AD280","TBI",63.1875
"4","AD279","AD",140.272115384615
"5","AD270","SHAM",86.15875
"6","AD275","AD",67.3408333333333
"7","AD266","AD",38.41
"8","AD276","AD",147.005
"9","AD277","AD",120.226
"10","AD273","SHAM",113.890833333333
"11","AD260","AD",568.3325
"12","AD284","SHAM",33.3
"13","AD271","TBI",218.22875
"14","AD264","TBI",252.152857142857
"15","AD262","TBI",162.604285714286
"16","AD259","SHAM",194.28
"17","WT234","WT",21.5425
"18","WT232","WT",9.95
"19","WT229","WT",26.4633333333333
"20","WT227","WT",165.233666666667
"21","AD164","AD",339.19
"22","AD151","AD",57.9175824175824
"23","AD146","AD",75.69
"24","AD182","SHAM",47.95
"25","AD175","SHAM",30.1064285714286
"26","AD159","SHAM",185.93
"27","AD178","TBI",171.4925
"28","AD173","TBI",185.426666666667
"29","AD171","TBI",124.190535714286
"30","AD186","TBI",190.803392857143
"31","WT031","WT",63.4665
"32","AD130","AD",248.7075
"33","AD080","SHAM",117.675
"34","AD073","SHAM",46.4944642857143
"35","AD083","TBI",71.6934642857143
"36","AD061","TBI",130.33619047619
"37","WT016","WT",32.2533333333333
"38","WT010","WT",57.9625
"39","WT008","WT",32.2642857142857
"40","WT006","WT",276.418
"41","WT000","WT",37.7671428571429
"42","AD025","AD",85.7175
"43","AD012","AD",84.17025
"44","AD030","SHAM",41.8459523809524
"45","AD013","SHAM",85.331
"46","AD008","SHAM",48.9083333333333
"47","AD004","SHAM",89.2263636363636
"48","AD015","TBI",45.98
"49","AD011","TBI",92.0866666666667
"50","AD005","TBI",22.4566666666667
